,,,,,,,,,,,,,,,,,
PH-53-Position of Sanctioned Works (Gati Sakthi),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SN,PROJECTID,Year of Sanction,Date of Sanction,Short Name of Work,Block Section Station,ALLOCATION,Current Cost,Exp upto date,Financial Progress,ENGG. REMARKS,IF UMBRELLA?,PARENT WORK,Section,Remarks as on 22/11/2024,Latest Remarks Civil,Latest Remarks Electrical,Latest Remarks S&T
10,14.01.53.23.1.53.007,2023-2024,Dy.CE/GS/SBC/07/2023 dt.24/07/2023,SBC Division: Modernization of Ramanagaram and Kengeri stations under Amrit Bharat Stations Scheme (Phase l),SEC: Stn: KGI,Cap.,206938,84165,40.67," Engineering: KENGERI:
  2 wheelers parking shelter foundation work in progress.
  4 wheeler parking completed.   2nd entry station building column completed upto roof level.
  10 Nos PF shelter column erected out of 24 Nos. Purlin fabrication is in progress.   Station building extension excavation work in progress.
  RAMANAGARAM:, kerbstone laying work in progress.
  Extension of approach road kerbstone laying & levelling course concrete is completed.   Facade work footing work in progress. ",Y,SWR-Soft upgrades/improvements at stations (Umbrella work 2023-24),Gati Sakthi,"Ramanagaram.
 Improvements to existing building : Foundation work and pillars raised for canoy work.
 2 wheeler parking : concrete work yet to be done and columns raised, roof sheets work and flooring is pending. 
 4 wheeler parking : Boundary wall completed, concrete work done, 
 (Drainage work for passing of rain water accumulated at circulating Parking area has not yet started, full of potholes are creating and drainage water stagnation is happening at parking area to Railway Station) 
 PF Shelter. Platform Shelter work at PF No 2 & 3, a total of 38 Columns erected and Out of 38, 36 Raptor completed, Purlin Erection is in progress. Out of 38, 03 columns are causing disturbing of OHE Line, Roof sheets is pending. 
 Pay and use toilet Beside of Upper Class waiting room, foundation work started. 
 12 mtr FOB. At PF No 4 foundation work completed, raising of pillars work is in progress. Fencing Road. Fencing between Road No 1 and 2 is in progress.
 
 Kengeri (KGI)-NSG-3
 Main enry station building foundation work (EW) is in progress. Regarding Improvements to existing building, waiting for approval of documents. 2nd Entry station building, GF roof, 1st floor slab, brick work, cement plasting are completed, internal flooring work yet to be started, 2 wheeler & 4 wheeler parking completed. 24 Nos of PF shelter columns and rafter erected and purlin work completed, 1 rafter work and Electrical mast is in progress, Pay and use toilet footing concrete completed and column erected up to Lintle level, Brick work AAC in progress. 12 meter FOB RCC completed at PF No 4 is completed and excavation at PF no 1 is completed, pedestal at PF 4 also completed,",,,
11,14.01.53.23.1.53.010,2023-2024,Dy.CE/GS/SBC/12-2023 dt.28/11/2024,SBC-Division-Provision of adequate Amenities for Divyanagjan at 15 stations under Amrit Bharat Station Scheme (Phase I),SEC: Stn:,Cap.,459382,1371,0.30,,Y,"SWR- Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Phase-II) (Umbrella work 2023-24)",Gati Sakthi,,,,
12,14.01.53.23.1.53.012,2023-2024,Dy.CE/GS/SBC/15/2023 dt.31/08/2023,"SBC Division- Construction of 12m wide FOB at TK, DBU, MWM, HUP and HSRA stations under ABSS Ph-I.",SEC: Stn: TK,Cap.,362067,3156,0.87,"Engineering: All the FOB GAD approved except Tumkur, Doddaballapur & Hindupur.
 Electrical TRD  Tender for OHE modifications as part of 12 metre vide FOB at TK,DBU,MWM and HUP is floated on  19.02.24",Y,SWR-Provision of foot over bridges and/or high-level platforms at stations (Phase - III) (Umbrella Work 2023-24),Gati Sakthi,,,,
13,14.01.53.23.1.53.013,2023-2024,Dy.CE/GS/SBC/13/2023 dt.31/08/2023,"SBC Division- Construction of 12m wide FOB at KJM, WFD, MLO, BWT and KPN stations under ABSS Ph-I.",SEC: Stn: KJM,Cap.,370050,914,0.25,"Engineering:
  All the FOB GAD sent to Hd.Qrs approved",Y,SWR-Provision of foot over bridges and/or high-level platforms at stations (Phase - III) (Umbrella Work 2023-24),Gati Sakthi,,,,
14,14.01.53.23.1.53.014,2023-2024,Dy.CE/GS/SBC/14/2023 dt.31/08/2023,"SBC Division- Construction of 12m wide FOB at KGI, CPT, MYA, RMGM and DPJ stations under ABSS Ph-I",SEC: Stn: MYA,Cap.,324021,2519,0.78,"Engineering:
 All the FOB GAD sent to Hd.Qrs approved.
  KGI - FOB main columns excavation work is in progress at PF No.4",Y,SWR-Provision of foot over bridges and/or high-level platforms at stations (Phase - III) (Umbrella Work 2023-24),Gati Sakthi,,,,
S&T Works ,,,,,,,,,,,,,,,,,
15,14.01.53.23.1.53.015,2023-2024,20/05/2023,Provision of CIB at 8 Amrit Bharat Stations over SBC Division,SEC: Stn:,Cap.,46069,19896,43.19,"Platform shelter work is in progress at all 8 stns  by GSU. After completion of the work, CIB work will start.",Y,"SWR- Minimum essential amenities - Telecom, expansion of information system to facilitate Divyangjan and other passenger amenity items (Phase -II) (Umbrella work 2023-24)",Gati Sakthi,,,,
16,14.01.53.23.3.53.001,2023-2024,15/05/2023,Replacement of Coach Guidance Boards at 2 Amrit Bharat Stations over SBC Division.,SEC: Stn:,Cap.,11871,4995,42.08,"At KJM PF No: 4 commissined. At PF No:2 Platform widening work is in progress. At KGI (PF No:2&3) Platform shelter work is in progress, executing by GSU. (TDC: Two months after completion of platform shelter work by GSU)",Y,"SWR- Minimum essential amenities - Telecom, expansion of information system to facilitate Divyangjan and other passenger amenity items (Phase -II) (Umbrella work 2023-24)",Gati Sakthi,,,,
Electrical Works,,,,,,,,,,,,,,,,,
17,14.01.53.23.1.53.008,2023-2024,Dy.CEE/GSU/SBC/20/2023 dt.27/04/2023,Provision of Passenger Lifts over SBC division under Amrith Bharath Scheme - Phase I,SEC: Stn:,Cap.,118445,0,0,"Under Procurement.                                                            TENDER No: L8236672,Opened on:06-02-2024    ",Y,SWR-Provision of lifts at stations (Sugamya Bharat Abhiyan) (Phase - II) (Umbrella work 2023-24),Gati Sakthi,,,,
18,14.01.53.23.1.53.009,2023-2024,Dy.CEE/GSU/SBC/21/2023 dt.27/04/2023,Provision of Escalators over SBC division under Amrith Bhrath Scheme - Phase I,SEC: Stn:,Cap.,235873,0,0,Under Procurement. Currently with CMM/CN,Y,SWR-Provision of Escalators on Railway platforms over Indian Railways with average footfall more than 25000 per day (Phase-II) (Umbrella work 2023-24),Gati Sakthi,,,,
19,14.01.53.23.1.53.011,2023-2024,Dy.CEE/GSU/SBC/04/2023 dt.30/03/2023,Improvement of SIGNAGE at 15 station under Amrit Bharat scheme for SBC division (Phase I),SEC: Stn:,Cap.,54921,0,0,Material  Approval given. Site survey and preparation of LOP in progress.,Y,"SWR- Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Phase-II) (Umbrella work 2023-24)",Gati Sakthi,,,,
20,14.01.53.23.3.53.002,2023-2024,10/07/2023,"Provision of Passenger Lifts in Bangarapet Junction, Malur and Dharmapuri Stations of SBC division under Amrit Bharath Scheme - Phase I",SEC: Stn:,Cap.,14081,0,0,,Y,SWR-Major Upgradation of Railway Stations on Indian Railways(Phase-IV) (Umbrella work 2023-24),Gati Sakthi,,,,
,,,,,,,,,,,,,,,,,
Works (Other than ABSS Works marked to GSU),,,,,,,,,,,,,,,,,
21,14.01.53.24.1.00.002,2024-25,29/10/2024,Major upgradation/modernisation of infrastructure at PKD goods shed,,Cap.,204374,0,0,Newly Sanctioned ,,South Western Railway- Upgradation/Modernisation of Infrastructure at good sheds (PB#1302/NR/2023-24),,,,,
