,,,,,,,,,,,,,,,,,,
Sr.DEN/EAST,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SN,PROJECTID,Year of Sanction,Date of Sanction,Short Name of Work,Block Section Station,ALLOCATION, Cost,Expenditure upto date,Financial Progress in %,IF UMBRELLA?,PARENT WORK,Section,Remarks,Latest Remarks Civil 12.11.2024,Latest Remarks Electrical 12.11.2024,Latest Remarks S&T 12.11.2024,Latest Remarks S&T 12.11.2024,Latest Remarks Civil  as on 05.12.2024
9,14.01.53.22.3.50.003,2022-2023,16/08/2022 ,"Bangarapet - Marikuppam - Raising & Extension of Platform from ML to HL at CNKH, HUD, GJT, DNU, DTT stations (5Nos)",SEC:BWT-MKM Stn: BWT,Cap.,24964,6905,100.00,Y,SWR - Provision of foot over bridges and/or high-level platforms at stations (Phase - II) (Umbrella Work 2022-23),east,"work completed on 28.12.23, CR to be drawn by 30.05.2024",Engg completed. FCC cleared.,LOA issued. TDC: 31.12.2024,,,Engg completed. FCC cleared.
10,14.01.53.22.3.50.004,2022-2023,25/08/2022,Bangalore city - Jolarpettai - Provision of PF shelter on KPN & TCL and Pay & Use toilet with Borewell at TCL,SEC:SBC-JTJ Stn: SBC,Cap.,18550,6289,40.00,Y,"SWR - Soft Upgrade at Stations (like provision of passenger amenities, cover over platform etc.) (Umbrella Work 2022-23)",east,"work completed, 
CR to be drawn ",Work completed. FCC TO BE DONE. TDC for final bill: 15.12.2024,Work completed. Final bill to be raised by TDC: ,,,Final bils under preparation
11,14.01.53.22.4.50.001,2022-2023,13/09/2022 ,"Chintamani - Upgradation of CMY Stn duly providing PF Shelter, water booths, circulating area improvements & Pay&use toilet at BWT",SEC: Stn: CMY,Cap.,8684,1772,70.00,N,,east,"work completed, 
CR to be drawn ", TDC for FCC: 30.12.2024. ,LOA issed. TDC for work completion: 30.12.2024,,,Variation work under progres
12,14.01.53.21.3.50.005,2021-2022,12/07/2021,"Provision of 2 Nos escalators at KJM PF No.4 
(Location shifted to BWT & MYA)",SEC: Stn: KJM,DF(1),21454,10727,50.00,Y,Provision of escalators on Railway platforms over Indian Railways (with average footfall of more than 25000 per day) (PB#1120/2020-21/NR),"east, west","Escalator work at BWT & MYA completed. 
FCC under Process.",Wotrk completed. FCC cleared for BWT.,work completed. TDC for Final bill linked to commissioning of Escalator at KGI,,,Wotrk completed. FCC cleared for BWT.
13,14.01.53.22.4.50.002,2022-2023,13/09/2022 ,Bangalore city - Jolarpettai - Provision of IRS type PF shelter on PF-1/2 and 3/4 at MLO and PF1/2 and 3 at DKN Station.,SEC:SBC-JTJ Stn: SBC,Cap.,20295,17838,60.00,N,,east,DK ,Work completed. FCC Under process. TDC for FCC 15.12.2024,DKN work done departmentally. MLO electrical work handed over to GSU. Sr DEE G to hand over the letter to DEN East regarding the above.,,,Work completed. FCC Under process. TDC for FCC 15.12.2024
14,14.01.53.22.4.50.009,2022-2023,11/10/2022,"Malur – Upgradation of MLO station including Waiting hall, Approach road, circulating area and parking lot.",SEC: Stn: MLO,Cap.,32545,32545,85.00,N,,east,"Parking - 90% work completed, Painting for Pillars work is yet to carryout, No illumination of light and No sighnage pointing indicators.  Remaining work not yet started. Bill status",Work completed. FCC completed.,Electrical component has been advised to Gati Shakti. Sr DEE G to advise to raise Zero Bill to Sr DEN East,,,Work completed. FCC completed.
15,14.01.53.22.4.50.006,2022-2023,11/10/2022,Krishnarajapuram - Construction of Waiting Room at KJM station.,SEC: Stn: KJM,Cap.,7403,0,0,N,,east,work will be taken up by GSU.,PID to be checked for any other linked works for closure of works.,PID to be checked for any other linked works for closure of works.,,,PID to be checked for any other linked works for closure of works.
Work in Progress,,,,,,,,,,,,,,,,,,
16,14.01.53.22.1.50.005,2022-2023,17/02/2023,Bangalore city - Jolarpettai - Re-Construction of FOB at TCL Station (4T),SEC:SBC-JTJ Stn: SBC,Cap.,36008,7535,20.93,Y,SWR - Provision of foot over bridges and/or high-level platforms at stations (Phase - II) (Umbrella Work 2022-23),east,Work in Progress. Expenditure forecast till March'25: 1 crore,Foundation work under progress. 15% completed. TDC for work completion: 31.03.2025,Lumpsum provision of 5 lakhs has been made for Electrical. DE is being sent for finance vetting. ,,,Foundation work under progress. 15% completed. TDC for work completion: 31.03.2025
17,14.01.53.22.1.53.002,2022-2023,29/07/2022,Bangarapet - construction of 2nd entry with TTE room and new FOB towards MKM end at BWT station.,SEC: Stn: BWT,Cap. (GSU/SBC),97112,43730,70.00,Y,"SWR - Soft Upgrade at Stations (like provision of passenger amenities, cover over platform etc.) (Umbrella Work 2022-23)",east,"2nd Entry TTE room ground roof is ready, First floor pillars work is in progress.
2nd Entry FOB fabrication & roof work in completion stage, fixing of tiles on elevation steps is in progress. Expenditure forecast is another 4 crore till March 2025",FOB work completed. TTE rest room buidling Ground floor completed. First floor roof work under progress. 75% work completed. TDC for work completion: 31.01.2025,LOA issued. TDC for work completion: 31.01.2025,,,FOB work completed. TTE rest room buidling Ground floor completed. First floor roof work under progress. 75% work completed. TDC for work completion: 31.01.2025
18,14.01.53.22.4.50.019,2022-2023,31/03/2023 ,SBC-JTJ Sec: Improvements to Coach watering facilities at Bangarapet (BWT) Station.,SEC: Stn: BWT,RRSK,14563,3829,30,N,,east,Electrical work pending. Bills for 70 lakhs would be cleared,Work under progress. 85% complete. TDC for work completion: 30.11.2024.,LOA issued. TDC for work completion: 31.12.2024,,,Final bil yet to be received for clearance
19,14.01.53.22.4.50.020,2022-2023,31/03/2023 ,SBC-JTJ Sec: Improvements to Station Approach road at SKPT & Improvements to Second class waiting hall at KPN station,SEC:SBC-JTJ Stn: SBC,RRSK,4708,64,10,N,,east,"SKPT approach Road completed 02 years back.
No work started for construction of Waiting Hall. Bill Status?",Work under progress. 60% complete. TDC for work completion: 31.12.2024.,LOA issued. TDC for work completion: 31.12.2024,,,Final bil yet to be received for clearance
20,14.01.53.23.3.00.004,2023-2024,18/12/2023 ,Bangalore city - Jolarpettai - Provision of STP Tank of 25KLD capacity at KPN station in ADEN/BWT sub-division,SEC:SBC-JTJ Stn: SBC,Cap.,10117,0,0,Y,SWR-Comprehensive sewage treatment plant (Phase-II) (Umbrella work 2023-24),east,Work in Progress. Bill status - NIL,Work under progress. 10% complete. TDC for work completion: 31.03.2025.,Rs.5 Lakh LS sanction is available. DE is being sent for fiancne vetting.,,,Work under progress. 10% complete. TDC for work completion: 31.03.2025.
21,14.01.53.23.4.50.013,2023-2024,05/03/2024,Construction of Waiting Hall & provision of RDSO type shelter on PF 1 & PF 2 at GDP station,SEC:SBC-JTJ Stn: SBC,RRSK,6250,0,0,N,,east,TC is under finalization.,LOA issued on 23.10.2024. TDC for work completion: 30.04.2025,LOA issued. TDC for work completion: 30.04.2025,,,LOA issued on 23.10.2024. TDC for work completion: 30.04.2025
Works under Tender Process,,,,,,,,,,,,,,,,,,
22,14.01.53.24.3.00.009,2024-25,21/10/2024,"Const. of New booking office, waiting hall & retiring rooms/dormitory & Const. of dormitory at existing service building at SMVB",,CAP,171607,,,,,,Detailed Estimate under Preparation,Detailed estimate would be vetted by 22.11.2024. Tender would be called by 05.12.2024,Tender would be clubbed along with Civil,,,Detailed estimate would be vetted by 22.11.2024. Tender would be called by 05.12.2024
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FCC,,,5
,,,,,,,,,,,,,,,LOA,,,1
,,,,,,,,,,,,,,,Tender,,,
,,,,,,,,,,,,,,,Work in Progress,,,1
