SN,PROJECTID,Year of Sanction,Date of sanction,Short Name of Work,Station,Block section Station,ALLOCATION,Current Cost,Expenditure upto date,Financial Progress,ENGG. REMARKS (as on 06.08.24),IF UB?,PARENT WORK,Section,Remarks as on 14/06/24
17,14.01.53.18.3.50.050,2018-2019,05/10/2018 (GM/SWR),Proposed FOB at Hirehalli (HHL) Station of SBC-TK Section (2T),HHL,SEC: Stn: HHL,RRSK,20395,3330,16.33,"(i) Estimate status : Sanctioned (Dt: 12.02.2019) (ii) Tender status : Awarded (Dt:29.04.19) (iii) Work in progress/To be started : Work is in progress (iv) TDC: (06/24) (Progress : 85%) (v) Latest status: FOB Launched, Ramp work completed. Elec : Electrical works completed. (vi) Hindrance/Assistance : nil.
updated on : 13.05.2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,work physically Completed Vigilance case. Agt. No.163/SBC/19 of 30.7.2019.
18,14.01.53.18.3.50.053,2018-2019,05/10/2018 (Gm/SWR),Proposed FOB at Marandahalli (MZU) Station of SA-SBC Section (2T),MZU,SEC: Stn: MZU,RRSK,20334,6013,29.57,"DE Sanctioned on 18.02.2019, LOA awarded vide No.496/19029 of 13.06.2019, combined with FOB at RYC, KVLR & KMLM. Agt No. 148/SBC/2019 of 22.07.2019 (M/s Balaji Enterprises). Agt value Rs. 81781079/-. FCC is passed, Final PVC in progress. Once PVC is passed CR will be drawn and work will be processed for deletion from IRPSM. ELECTRICAL Tender called for 04 works (combined)(OT 19). LOA issued on 23.11.2019 -M/s Standared Ele Enterprises. Rs. 77.42 Lakhs. Electrical works completed. 
updated on 5/09/2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,South,"FCC passed and PVC bill also claimed. File handed over for CR drawal. TDC for CR drawl dependent upon Electrical feedback.
Work completed. Final variation under process. Combined with 7 other works. work would be closed upon completing of latest work."
19,14.01.53.18.3.50.055,2018-2019,05/10/2018 (GM/SWR),Nidvanda~~Proposed FOB at Nidavanda (NDV) Station of SBC-TK Section (2T),NDV,SEC: Stn: NDV,RRSK,28547,21275,74.53,"i) Estimate status : Sanctioned (Dt:12.02.2019) (ii) Tender status : Awarded (Dt:29.04.19) (iii) Work in progress/To be started : in progress (iv) TDC: (06/24) (Progress : 75%) (v) Latest status: Engg : FOB Launched, Ramp work completed. Work is in progress. Elec : Tender called for 05 works (combined)(OT 20). LOA issued on 23.11.2019 -M/s Standared Ele Enterprises. Rs. 79.97 Lakhs. Electrical works completed. (vi) Hindrance/Assistance : Nil Awaiting for variation approval. Expenditure Jan-Mar
updated on 13/05/2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,work physically Completed Vigilance case. Agt. No.163/SBC/19 of 30.7.2019.
20,14.01.53.18.3.50.058,2018-2019,11/10/2018 (GM/SWR),Soledevanahalli~~Pro. Extension & Raising of PF @ SDVL,SDVL,SEC: Stn: SDVL,RRSK,16960,1161,6.85,"Work physically completed.
updated on : 13/05/2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,Work physically completed. agt. no. 81/SBC/19 of 10.04.2019.
21,14.01.53.18.3.50.061,2018-2019,22/10/2018 (GM/SWR),Yeshvanthpur~~Bengaluru Division : YPR - Pro. new inward parcel office .,YPR,SEC: Stn: YPR,Cap.,5380,1604,29.81,"(i) Estimate status : Sanctioned (Dt:_27.06.2019) (ii) Tender status : Awarded (Dt:25.10.2019) (iii) Work in progress/To be started : In progress (iv) TDC: (03/24) (Progress : 20%) (v) Latest status: currency revived. Foundation work completed, (vi) Hindrance/Assistance : Agency has served several slow progress letter, till date lintel beem has be casted. Roof slab shuttering in progress Expenditure Jan-Mar (ENGG-0.5, ELECTR-0.02 TOTAL-0.52)
updated on : 13/05/2024",Y,SWR - Soft upgrades improvements at stations,north,"Building work stopped at lintel level. Work stopped due to KRIDE BSRP alignment
To be foreclosed by 31,12,2024"
22,14.01.53.18.3.50.063,2018-2019,02/11/2018 (GM/SWR),SBC-TK Section:-Proposed FOB at Kyatsandra Station.,KIAT,SEC: Stn: KITA,RRSK,7849,7849,100,"(i) Estimate status : Sanctioned (Dt: 12.02.2019) (ii) Tender status : Awarded (Dt:_29.04.2019) (iii) Work in progress/To be started : In progress (iv) TDC: (Fresh sanction required) (Progress : 100%) (v) Latest status: Work is in progress. Foundation and PF-2 completed. For remaining work additional sanction is required. Elec: Tender called for 05 works (combined)(OT 20). LOA issued on 23.11.2019 -M/s Standared Ele Enterprises. Rs. 79.97 Lakhs (vi) Hindrance/Assistance :Less sanction value. TDC
updated on : 13/05/2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,Under CBI case and new work is being proposed for the provision of FOB with Ramp.
23,14.01.53.18.3.50.066,2018-2019,15/11/2018,Bangalore city~~SBC – Provision of Granite Flooring for high level Platform 9/10.,SBC,SEC: Stn: SBC,Cap.,21266,21266,100,"Work completed & Fina bill in progress. ( Agt No. 70/19)
updated on : 13/05/2024",Y,SWR - Soft upgrades improvements at stations,west,FCC under Process. TDC for FCC 31.01.2025
24,14.01.53.18.4.50.001,2018-2019,04/07/2018 (DRM/SBC),Yeshvanthpur~~Yeshvanthpur~~YPR-Redevelopment of station- Electrical arrangements,YPR,SEC: Stn: YPR,"DRF,DF(1)",16729,7805,46.66,"i) Estimate status : Sanctioned (5.7.18) (ii) Tender status : Awarded (17.10.18) (iii) Work stopped due to YPR redevelopment. (iv) TDC: (09/24) (Progress : 75%) (v) Latest status: Elec : Garden Bollard light provided. Post Top Lantern erection completed. Facade wiring completed. 04 Nos High mast erected and commissioned. Work in pace with engg. Work to be closed because of YPR redevelopment of station work.
updated on : 06/09/2024",N,,north,Work completed.Final bill to be passed by 12.12.2024. Work closure by 31.12.2024
25,14.01.53.18.4.50.005,2018-2019,27/11/2018 (DRM/SBC),Yeshvanthpur~~YPR - Pro. Bore wells at Yeshavantapur - 10 nos.,YPR,SEC: Stn: YPR,Cap.,5450,5000,91.74,"""(i) Estimate status : Sanctioned (Dt:_29.11.2018__) (ii) Tender status : Awarded (Dt:_18.06.2019__) (iii) Work in progress/To be started : In progress (iv) TDC: (MM/YY) (Progress : 90%) (v) Latest status:9 bore wells have been completed. 1 is remaining. FCC to be processed. (vi) Hindrance/Assistance : Nil""
updated on : 13/05/2024",N,,north,FCC pending. Would be subitted by 30.11.2024. Final bill to be passed by 15.12.2024 and Work closure by 31.12.2024. TDC : 10.01.2025
26,14.01.53.18.4.50.009,2018-2019,18/12/2018,Mandya~~MYA - Pro. Provision of extension of platform 1 by 60 mtr length at MYS End.,MYA,SEC: Stn: MYA,Cap.,2023,0,0,"""""""(i) Estimate status : Sanctioned (Dt:_31.02.2019__) (ii) Tender status : Awarded (02.04.2019) (iii) Work in progress/To be started : To be started (iv) TDC: (05/24) (Progress : 0%) (v) Latest status: work completed final bill in progress. (vi) Hindrance/Assistance : Nil 
Sr.DEE/TRD/SBC:- Work has been awarded to M/s Excellent power technologies at a value of Rs.7,63,888.54/-.work kept on Hold
updated on : 13/05/2024",N,,west,FCC unnder Process. TDC for FCC 31.01.2025
27,14.01.53.19.6.50.001,2019-2020,19/02/2020,Provision of DG sets at important Block stations over SBC Division(37 stations),Combined,SEC: Stn: SBC,RRSK,24499,5511,22.49,"(i) Estimate Sanctioned (Dt:24.06.20) 
(ii) Tender awarded (Dt:16.09.21) 
(iii) Work in progress 
(iv) TDC: (05/24) (Progress : 50%)
(v) Latest status: PO for for 09 Nos of 62.5 KVA DG @ Rs. 5711- Skyline solutions, New Delhi.09 Nos DG -63 kVA installed. Fresh indents to be placed for 25 DG sets of 30KVA . Remaining work will be completed after receiving of 30KVA DG sets. Works portion awarded for 4280 LOA dt.9.9.20 M/s Ranganatha Swamy, Blore. (vi) Hindrance/Assistance : Nil
CUML-5511
updated on : 06/09/2024",N,,div,"Latest status: PO for for 09 Nos of 62.5 KVA DG @ Rs. 5711- Skyline solutions, New Delhi.09 Nos DG -63 kVA installed. Fresh indents placed for 18 DG sets of 30KVA. Works portion awarded for 4280 LOA dt.9.9.20 M/s Ranganatha swamy prasanna"
28,14.01.53.19.7.50.002,2019-2020,11/3/20,"Somanayakanapatti~~Modification of OHE due to extension of platform at BSM(230 Mts), KGI(70 Mtrs) & SKPT(115 Mts)",SKPT,SEC: Stn: SKPT,RRSK,4255,805,18.92,"Sr.DEE/TRD/SBC:- 
Estimate- Sanctioned at 0.42 Cr
Indent placed -.13 Cr( Total items indented 4 items, PO released for 4 items and material received for 1 item)
Indent expenditure - 0 Cr.
Tender called 0.26 Lac
LOA awarded at - 0.25 lac
Status of currency-Aug 2022
Addl fund required- 0 Lac
LOA expenditure -0.0 
Total expenditure - .08 Cr. 
Tender: LOA awarded to Sri Venkateshwara contractors at Rs 25.4 lac CCI bill of 6.17 lac passed, CC II bill of Rs.1.82 Expenditure Jan-Mar (TRD
updated on : 09/08/2024",N,,"east, west",TDC for Work completion (TRD): 31.12.2024. TDC 28.02.25
29,14.01.53.21.1.50.001,2021-2022,26/05/2022,"Provision of Passenger Lifts 2 Nos. each at CPT,RMGM & HSRA stations over SBC Division","CPT,RMGM,HSRA",SEC: Stn:,DF(1),36898,2791,7.56,"(i) Estimate Sanctioned (Dt:15.06.22) (ii) Tender status : Engg : HSRA awarded, CPT & RMGM awarded. (Ele) P.O issued for 1.3 Cr for 06 lifts. Omega Elevators, Ahmedabad. GAD & QAP for RITES approved. (Progress : 100%): (v) Latest status: (Ele) . Lift erected at CPT , RMGM, HSRA & EIG license obtained. Lifts opened for passenger service. Elec: Stores bill of 10399 passed on 10.07.2024
updated on : 06/09/2024",Y,Provision of lifts at stations (10 Nos) (Sugamya Bharat Abhiyan) (PB#1119/2020-21/NR),"west, south","Engg: FCC passed . File handed over for CR drawal . TDC by 15.01.2025 for CR drawl
Elec: work completed. Final bill to be raised. PG to be submitted by firm for warranty period. TDC for raising Final Bill 31.12.2024. TDC 31.01.2025
"
30,14.01.53.21.1.50.002,2021-2022,26/05/2022,Provision of 2 Nos of escalators at SBC PF No.1 towards 3rd entry,SBC,SEC: Stn: SBC,DF(1),30468,9770,32.07,"(i) Estimate sanctioned (Dt:15.06.22) (ii) Tender status : PO issued @12212 on 17.02.2023.Ms Johnson Lifts (iii) Work completed. (iv) TDC: (10/24) (Progress : 99%): (v) Latest status: Erection and commissioning of escalator 2 nos completed. CEIG inspection completed, license obtained. Handing over to be done.(vi) Hindrance/Assistance : Nil Elec: Stores bill of 0.977 Cr passed in September.
updated on : 06/09/2024",Y,Provision of escalators on Railway platforms over Indian Railways (with average footfall of more than 25000 per day) (PB#1120/2020-21/NR),west,"Engg work completed. Work is part of other sanctioned works which are pending for completion. Completion of other works is targeted by June 2025. 
"
31,14.01.53.21.3.50.001,2021-2022,2/6/21,Mandya~~Provision of 2 Nos of escalators at MYA PF No.2/3,MYA,SEC: Stn: MYA,DF(1),22416,14134,63.05,"(i) Estimate sanctioned (Dt:15.06.22) (ii) Tender status : PO issued @12212 on 17.02.2023.Ms Johnson Lifts (iii) Work completed. (iv) TDC: (10/24) (Progress : 99%): (v) Latest status: Erection and commissioning of escalator 2 nos completed. CEIG inspection completed, license obtained. Handing over to be done.(vi) Hindrance/Assistance : Nil Elec: Stores bill of 0.977 Cr passed in September.
updated on : 06/09/2024",Y,Provision of escalators on Railway platforms over Indian Railways (with average footfall of more than 25000 per day) (PB#1120/2020-21/NR),west,"Escalator Commissioned, 
FCC to be cleared by 31.12.2024"
32,14.01.53.21.3.50.002,2021-2022,02/06/2021 (GM/SWR),Provision of 2 Nos of escalators at YPR PF No.4/5,YPR,SEC: Stn: YPR,DF(1),21268,1473,6.93,"""YPR Location is canceled and changed to Kengeri (i) Estimate status : Sanctioned 29.07.2021 (ii) Tender status :no valid offer, tender refloated. Ele- LOA issued. 28.04.2022; (iii)Work in progress/To be started : in progress (iv) TDC: --) (Progress : 50%) (v) Latest status: Ele- LOA issued. 28.04.2022. Escalator erected IN PF.1/ KGI.Under Testing. Erection in progress at PF.2/3 . (vi) Hindrance/Assistance : Nil Expenditure Jan-Mar (ELECTR-0.88 TOTAL-0.88)""
updated on : 14/05/2024",Y,Provision of escalators on Railway platforms over Indian Railways (with average footfall of more than 25000 per day) (PB#1120/2020-21/NR),north,"work awarded. material procurement in progress . TDC for work completion: June 2025
"
33,14.01.53.21.3.50.003,2021-2022,14/06/2021 (GM/SWR),Dharmapuri~~Provision of Passenger Lifts at Dharmapuri station (2 Nos),DPJ,SEC: Stn: DPJ,Cap.,10860,10860,100,"DE sanctioned on 26.07.2021, Elec: LOA issued 19.04.2022 , ENGG: LOA issued on 19.04.2022, Engg work completed , Electrical to draw CR and close work from IRPSM. Elec: Lifts erected and commissioned. Electrical License obtained. Work Completed.
updated on : 05/09/2024",Y,"SWR - Soft upgrades at stations (like improvement in station buildings, tall flags, steel benches, cover over platform etc) (Umbrella Work 2020-21)",South,FCC passed . File handed over for CR drawal. TDC for CR drowal 31.12.2024
34,14.01.53.21.3.50.004,2021-2022,17/06/2021,Provision of Minimum Essential Telecom Amenities like clocks and public address system at way side stations over Bangalore Division,Combined,SEC: Stn:,RRSK,24320,14753,60.66,"Detail estimate sanctioned on dt:24.08.2021 and LOA awarded to M/s.PARTRONICS EBOARDS PRIVATE LIMITED-PUNE of Rs.2,17,97,414/- on Dt:09.10.2021.The work is under progress. TDC:09/2024.
updated on : 03/09/2024",Y,"SWR - Minimum essential amenities - Telecom, expansion of information system to facilitate Divyangjan and other passenger amenity items (Umbrella Work 2020-21)",div,85% of the work completed. some of the Platform cutting and erection of pole with speakers and Earthing are pending . TDC for work completion: 31.01.2025. Final Bill: 31.03.2025. TDC 28.02.25
35,14.01.53.21.3.50.005,2021-2022,12/7/21,Provision of 2 Nos escalators at KJM PF No.4,KJM,SEC: Stn: KJM,DF(1),21454,-3811,-17.76,") Estimate status : sanctioned on 29.07.2021. ii) Tender status : Awarded on 06.12.2021. iii) Work in progress/To be started: Work to be dropped. iv) TDC: v) Latest status : Work to be dropped due to not feasibility at KJM PF.
updated on : 05/09/2024",Y,Provision of escalators on Railway platforms over Indian Railways (with average footfall of more than 25000 per day) (PB#1120/2020-21/NR),"east, west",Work Completed at BWT & MYA. Tender terminated.
36,14.01.53.21.3.50.006,2021-2022,14/07/2021,Provision of 2 Nos escalators at BWT PF No.3/4,BWT,SEC: Stn: BWT,DF(1),22082,6504,29.45,"i) Estimate status : sanctioned on 29.07.2021. ii) Tender status : Awarded on 06.12.2021. iii) Work in progress/To be started: Work completed. iv) TDC: v) Latest status : Work completed. FCC passed. CR to be drawn. Elec: Escalators erected and commissioned. Ready for inauguration.
updated on : 05/09/2024",Y,Provision of escalators on Railway platforms over Indian Railways (with average footfall of more than 25000 per day) (PB#1120/2020-21/NR),east,"Engg completed FCC cleared. 
Elec: Final bill under process. Clubbed with 4 other works. TDC: 30.04.2025"
37,14.01.53.21.3.50.007,2021-2022,7/3/22,SBC - JTJ Sec - Proposed High level Platform for a length of 450mtrs (Road 4) at MAR station,MAR,SEC: Stn: MAR,Cap.,25572,25572,100,"(i) Estimate status : sanctioned (ii) Tender status : awarded on 22.6.22 (iii) Work in progress/To be started: WIP. (iv) TDC: (Progress :99 %): (v) Latest status : Work completed on 30-09-2023 Final bill also passed.CR to be drawn. Sr.DEE/TRD/SBC:- Estimate- Sanctioned at 77.43 Lac
updated on : 05/09/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Umbrella Work 2020-21)",east,"Engg completed. FCC cleared.
Elec: Work completed. Final bill pending due to clubbing with other works. TDC: 28.02.2025
"
39,14.01.53.21.3.50.009,2021-2022,21/03/2022 (GM/SWR),"Yelahanka - Provision of PF Shelter at PF - 1, 2/3 & 4/5 (Total 1261 sqm.)",YNK,SEC: Stn: YNK,Cap.,13317,0,0,"(i) Estimate status : Sanctioned on 31.05.22
(ii) Tender status : awarded but terminated due to non submission (iii) Work in progress/To be started: re-tendering is being done in may/23 Tender called twice. One time no offer received. Other time no eligilble tenderer. Third time tender opened on 16.10.2023. It is under finalisation.
updated on : 15/05/2024",Y,"SWR - Soft upgrades at stations (like improvement in station buildings, tall flags, steel benches, cover over platform etc) (Umbrella Work 2020-21)",north,"50% work completed. Balance work in progress 
TDC: 28.02.2025"
40,14.01.53.21.3.50.010,2021-2022,21/03/2022 (GM/SWR),"Srisatyasaiprashanthinilayam: Provision of IRS type PF shelter at SSPN- PF 1 (48mtr), PF2&3 (48mtr), 3 Bays on each PF.",SSPN,SEC: Stn: SSPN,Cap.,8803,1995,22.66,"(i) Estimate status : (Dt:11.05.222) (ii) Tender status : To be called (iii) Work in progress/To be started: Work to be started (iv) TDC: (05/24) (Progress : 0%): 
(v) Latest status: Work sanctioned during Mar '22. DE sanctioned. Work completed. Variation to be processed.
updated on : 15/05/2024",Y,"SWR - Soft upgrades at stations (like improvement in station buildings, tall flags, steel benches, cover over platform etc) (Umbrella Work 2020-21)",north,Shelter Work Completed . Variation approval is in progress.SWR/SBC/Civil/2020/0048 of 15.05.2023 TDC: 28.02.2025
41,14.01.53.21.3.50.011,2021-2022,21/03/2022,"Bangalore city - Provision for covering of gaps on PF Shelters at PF No. 1,2&3, 4,5&6, 7&8, 9&10 at SBC",SBC,SEC: Stn: SBC,Cap.,9197,4632,50.36,"(i) Estimate status : Sanctioned (Dt:___) (ii) Tender status :awarded on 5/5/22 (iii) TDC: (05/24) (Progress : 80%): (v) Latest status: Work is in progress. TDC : 31.07.2024
updated on : 15/05/2024",Y,"SWR - Soft upgrades at stations (like improvement in station buildings, tall flags, steel benches, cover over platform etc) (Umbrella Work 2020-21)",west,Work is under progress. TDC for work completion: 31.01.2025
