,,,,,,,,,,,,,,,,,,
PH-53-Position of Sanctioned Works (Sr.DEN/S/SBC) : SOUTH,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SN,PROJECTID,Year of Sanction,Date of Sanction,Short Name of Work,Block Section Station,ALLOCATION,Current Cost,Expenditure upto date,Financial Progress in %,ENGG. REMARKS,IF UMBRELLA?,PARENT WORK,Section,Remarks of May-24,Remarks ,Latest Remarks Civil as on 10.12.2024,Latest Remarks Electrical as on 10.12.2024,Latest Remarks S&T as on 05.12.2024
Work in Progress,,,,,,,,,,,,,,,,,,
9,14.01.53.21.4.50.003,2021- 2022,17/01/2022 (DRM/SBC),Chickbanawar - Hassan -: Improvements to station approaches and other miscellaneous works at various stations in ADEN/KIGL Section,SEC:BAW-HAS Stn: BAW,DRF,8470,3993,47.14,DE Sanctioned on 18.02.2022. 100% of work completed. FCC to be passed.,N,,South,Work Physically Completed ,Work has still been completed only 60%. Final bill will be made after work is completed,Work completed.FCC not received yet in division. TDC for work completion: 31.01.2025 TDC for passing FCC: 28.02.2025,N/A,
10,14.01.53.21.3.50.018,2021-2022,31/03/2022 (GM/SWR),Nelamangala - Provision of improved loading facilities at NMGA goods shed,SEC: Stn: NMGA,Cap.,24792,12397,50.00,"LOA awarded vide No.58902 of 26.7.2022. Agt No. 2022/0077 of 27.03.2022 (M/s Manjunatha Engg Works). Agt value Rs. 15354705/-. Work is in progress. 77% Work done, balance work not carrying out by agency and for which recommended for termination.",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Umbrella Work 2020-21)",north,Work Physically Completed ,Work has been stopped by agency due to land issue and local people not allowing any machine to come to NMGA platform for work. Tender to be foreclosed but agency not coming forward for foreclosure and going for arbitration,Variation yet to be received from ADEN/KIGL. Work completion TDC: 31.01.2025.,HIghmast & pole shifting completed. Work done through quotation,
11,14.01.53.23.3.00.005,2023-2024,16.01.2024,Chickbanawar - Hassan - Construction of platform toilet at PF - 1 of SBGA station,SEC:BAW-HAS Stn: BAW,Cap.,868,0,0,,Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",South,Shedule Awaited,"Foundation, Bed Concrete work completed, RR Mesendry is in progress",work in progress. 30% progress as on date. TDC for work completion: 15.02.2025,Tender being called. LOA would be issued by 15.01.2025. TDC for completion: 28.02.2025,
12,14.01.53.23.3.00.018,2023-2024,30/03/2024,"Chickbanawar - Hassan - Extension of HL platform at NMGA (PF-1 by 140 mtr), KIGL (PF-1,2&3 by 20mtr) & YY (PF-1,2&3 by 40mtr)",SEC:BAW-HAS Stn: BAW,Cap.,15244,0,0,,Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",South,Tender called on 15/05/2024 & opening on 06/06/24," NMGA-Earth work is in progress for 120 metres.
 
 KIGL - Vegetation uprooting is in progress, As a part of Zonal work, Bridge work repairing also in progress, supply of materials also in progress",20% work progress. TDC for work completion: 31.03.2025. Drinking water pedestal and seating arragement to be ensured in the extended portion. TRD tender is to be called by 15.12.2024,LOA issued. TDC : 31.03.2025,
13,14.01.53.23.3.00.019,2023-2024,30/03/2024,"Chickbanawar - Hassan - Extension of HL platform at BGNR, HISE, SBGA & CNPA and compound wall at CNPA stn",SEC:BAW-HAS Stn: BAW,Cap.,22937,0,0,,Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",South,Tender called on 15/05/2024 & opening on 06/06/24,"SBGA- JCB work relevant to digging & clearance is in progress, Waterlogging happenned due to presence of pond beside the station, ADEN instruted to wait for one month for clearance water naturally.

BGNR, HISE, CNPA - No work started yet.
",20% work progress. TDC for work completion: 31.03.2025. Drinking water pedestal and seating arragement to be ensured in the extended portion. TRD tender is to be called by 15.12.2024,LOA issued. TDC : 31.03.2025,
14,14.01.53.23.3.00.006,2023-2024,27.02.2024,SBC-SA Sec: Raising and Extension of PF at PCV (PF-1: 70m Ext & PF-2: 560m Raising) and MZU (Extension of PF-1 & 2 by 160m each),SEC:SBC-SA Stn: SBC,Cap.,20098,0,0,,Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",South,Tender called on 15/05/2024 & opening on 06/06/24,"Palakkodu (PCV) - At PF No 1 & 2 - PF wall raising & earth ceiling completed, Conrete work at PF No 1 completed, PF No 2 conrete work yet to startes as the OHE required to shift other place.  Marandahalli : PF No 1 extension work completed. PF No 2 Concrete work pending. In two weeks, the conrete wok likely to be completed.",Civil work completed. TRD tender to be called by 15.12.2024,LOA issued. work in progress. TDC : 31.01.2025,
,,,,,,,,,,,,,,,,,,
15,14.01.53.23.3.00.009,2023-2024,19/03/2024,Bangalore city - Salem jn - Construction of FOB at Sivadi (SZV) station.,SEC:SBC-SA Stn: SBC,Cap.,24403,0,0,,Y,SWR - Provision of foot over bridges and/or high-level platforms at stations (Phase - II) (Umbrella Work 2022-23),South,Shedule Awaited,"GAD returned from HQ on 16/10/24 with some observation, Remarks for the observation under preparation.",,Est Submitted. Sanction awaited,
16,14.01.53.23.3.00.010,2023-2024,19/03/2024,Bangalore city - Salem jn - Construction of FOB at Toppur (TPP) station.,SEC:SBC-SA Stn: SBC,Cap.,24325,0,0,,Y,SWR - Provision of foot over bridges and/or high-level platforms at stations (Phase - II) (Umbrella Work 2022-23),South,Shedule Awaited,"GAD approved, Detailed Etimate under preparation",,Est Submitted. Sanction awaited,
17,14.01.53.23.3.00.013,2023-2024,27/03/2024,Bangalore city - Salem jn - SBC-SA Sec : Construction of FOB at Periyanagathunai (PRNT ) station,SEC:SBC-SA Stn: SBC,Cap.,24563,0,0,,Y,SWR - Provision of foot over bridges and/or high-level platforms at stations (Phase - II) (Umbrella Work 2022-23),South,Shedule Awaited,"GAD Approved, Detailed Estimate under preparation",,Est Submitted. Sanction awaited,
18,14.01.53.23.3.00.014,2023-2024,30/03/2024,SBC-SA Sec : Construction of FOB at Palakkodu (PCV) station,SEC:SBC-SA Stn: SBC,Cap.,24946,0,0,,Y,SWR-Provision of foot over bridges and/or high-level platforms at stations (Phase - III) (Umbrella Work 2023-24),South,Shedule Awaited,"GAD Approved, Detailed Estimate under Preparation",,Est Submitted. Sanction awaited,
